Data;BTC USD;ETH USD;LTC USD;ADA USD;XRP USD;EOS USD
2021-01-14;38346;1122;150;0,311601;0,29864;2,7815
2021-01-13;35415;1035;139;0,29700475;0,29841;2,682
2021-01-12;34668;1076;137;0,28537375;0,2917;2,62825
2021-01-11;35592;1146;148;0,27785525;0,2935;2,83225
2021-01-10;38711;1296;174;0,31328125;0,32385;3,39525
2021-01-09;40224;0;173;0,3171425;0,32259;3,3575
2021-01-08;39650;0;168;0,2969755;0,319;3,1295
2021-01-07;38240;0;170;0,31608025;0,29666;3,29725
2021-01-06;35284;1151;163;0,29818725;0,24193;3,13425
2021-01-05;32608;1063;156;0,23887675;0,2303;2,845
2021-01-04;31708;1001;158;0,21597325;0,23456;2,83575
2021-01-03;32984;876;149;0,19137;0,22473;2,71425
2021-01-02;30949;753;132;0,17637025;0,22693;2,63125
2021-01-01;29163;733;127;0,17782925;0,23072;2,625
2020-12-31;28785;743;127;0,1818675;0,21612;2,59225
2020-12-30;28149;740;129;0,18587575;0,21506;2,61075
2020-12-29;26934;727;127;0,184411;0,22375;2,6925
2020-12-28;26727;711;130;0,166053;0,26969;2,76525
2020-12-27;26735;663;130;0,1571765;0,28909;2,68025
2020-12-26;25628;634;129;0,156844;0,30571;2,63575
2020-12-25;24161;620;119;0,156935;0,33018;2,6545
2020-12-24;23378;597;106;0,14394975;0,3039;2,489
2020-12-23;23459;611;107;0,14431875;0,34259;2,6065
2020-12-22;23192;620;108;0,15486925;0,47164;2,89275
2020-12-21;23080;625;110;0,157183;0,53495;3,04975
2020-12-20;23675;648;117;0,163284;0,56335;3,113
2020-12-19;23469;657;115;0,16569925;0,58239;3,06575
2020-12-18;22896;646;106;0,16411325;0,58135;3,05275
2020-12-17;22290;646;99;0,167117;0,58751;3,09075
2020-12-16;20403;612;87;0,15989325;0,51305;2,976
2020-12-15;19335;587;82;0,156227;0,48428;2,85225
2020-12-14;19201;588;82;0,155095;0,50484;2,841
2020-12-13;19026;579;80;0,14948175;0,50853;2,813
2020-12-12;18449;556;75;0,14245075;0,52143;2,7295
2020-12-11;18041;551;73;0,1396335;0,55815;2,71375
2020-12-10;18318;566;76;0,144457;0,57404;2,7725
2020-12-09;18291;563;76;0,14234025;0,56246;2,7985
2020-12-08;18754;573;80;0,147145;0,5823;2,877
2020-12-07;19218;597;84;0,15575575;0,61107;2,9665
2020-12-06;19204;599;83;0,15859575;0,60358;2,99175
2020-12-05;18871;582;81;0,15392625;0,5709;2,928
2020-12-04;19057;592;84;0,155702;0,59042;2,9625
2020-12-03;19283;607;89;0,161671;0,62935;3,06625
2020-12-02;18917;592;87;0,15622725;0,61848;3,027
2020-12-01;19156;601;86;0,161434;0,6354;3,13825
2020-11-30;18975;596;83;0,168086;0,63645;3,149
2020-11-29;17945;556;76;0,1649585;0,61305;3,0035
2020-11-28;17406;527;71;0,15435425;0,59401;2,93825
2020-11-27;17055;516;70;0,13899825;0,54695;2,902
2020-11-26;17754;540;75;0,143681;0,56956;3,1335
2020-11-25;18972;587;85;0,161298;0,65861;3,52725
2020-11-24;18760;607;89;0,16771725;0,66601;3,474
2020-11-23;18395;585;86;0,15012175;0,52823;3,2065
2020-11-22;18375;549;84;0,13813925;0,45378;3,11525
2020-11-21;18681;531;85;0,12571925;0,39772;2,983
2020-11-20;18263;491;82;0,112172;0,3153;2,70775
2020-11-19;17781;474;77;0,10624975;0,29699;2,61875
2020-11-18;17790;479;74;0,107467;0,2964;2,64925
2020-11-17;17196;471;75;0,10729075;0,29559;2,6355
2020-11-16;16355;454;68;0,10223075;0,27865;2,5225
2020-11-15;15992;454;63;0,10211325;0,26958;2,4975
2020-11-14;16110;0;64;0,10476925;0,26807;2,548
2020-11-13;16266;0;63;0,105744;0,25993;2,521
2020-11-12;15954;462;60;0,104943;0,25529;2,46725
2020-11-11;15558;457;59;0,106573;0,25541;2,4915
2020-11-10;15298;448;58;0,10604725;0,25425;2,49725
2020-11-09;15362;450;60;0,10531825;0,25146;2,517
2020-11-08;15170;445;60;0,10402375;0,25177;2,519
2020-11-07;15137;447;61;0,1057945;0,25493;2,5295
2020-11-06;15588;436;61;0,10339825;0,25266;2,48525
2020-11-05;14893;409;57;0,09577525;0,24182;2,39225
2020-11-04;13988;393;54;0,094236;0,23749;2,32975
2020-11-03;13732;385;53;0,0920195;0,23673;2,3585
2020-11-02;13591;390;55;0,09549325;0,23815;2,45
2020-11-01;13768;391;55;0,09555175;0,23937;2,49575
2020-10-31;13716;385;55;0,093457;0,23995;2,5055
2020-10-30;13455;385;54;0,093496;0,23918;2,557
2020-10-29;13340;388;55;0,0974225;0,24366;2,638
2020-10-28;13424;396;57;0,10001425;0,24979;2,6535
2020-10-27;13388;398;58;0,103296;0,2506;2,64425
2020-10-26;13029;400;58;0,104;0,25099;2,66575
2020-10-25;13099;409;59;0,107278;0,2544;2,6675
2020-10-24;13022;411;57;0,10831025;0,25525;2,64575
2020-10-23;12918;412;55;0,10906675;0,25528;2,65
2020-10-22;12916;403;54;0,108655;0,25565;2,63675
2020-10-21;12458;380;50;0,1045385;0,24811;2,56925
2020-10-20;11846;374;47;0,10511975;0,24516;2,54875
2020-10-19;11624;378;48;0,10826775;0,24432;2,5605
2020-10-18;11431;373;47;0,10648875;0,24159;2,532
2020-10-17;11340;367;47;0,10512825;0,24067;2,525
2020-10-16;11398;372;48;0,105059;0,24291;2,5605
2020-10-15;11448;378;50;0,10649675;0,24702;2,602
2020-10-14;11420;380;50;0,10849725;0,25253;2,62125
2020-10-13;11458;384;50;0,110196;0,25632;2,6415
2020-10-12;11462;380;50;0,1079165;0,25471;2,656
2020-10-11;11346;372;50;0,106152;0,25526;2,6535
2020-10-10;11220;369;49;0,1046765;0,25497;2,65525
2020-10-09;10979;358;47;0,0987365;0,25257;2,621
2020-10-08;10773;346;47;0,0942335;0,24868;2,616
2020-10-07;10626;340;46;0,092622;0,24668;2,667
2020-10-06;10681;347;47;0,095117;0,24902;2,62575
2020-10-05;10719;352;46;0,09741475;0,2497;2,51925
2020-10-04;10608;349;46;0,095042;0,24054;2,49925
2020-10-03;10554;346;45;0,093351;0,23362;2,48275
2020-10-02;10561;347;45;0,09521175;0,23499;2,504
2020-10-01;10693;358;47;0,09973825;0,23967;2,567
2020-09-30;10784;359;46;0,10021625;0,24131;2,58725
2020-09-29;10759;357;45;0,10060275;0,24221;2,5795
2020-09-28;10775;357;46;0,1021145;0,24321;2,58225
2020-09-27;10727;356;46;0,0983745;0,24175;2,57225
2020-09-26;10715;353;46;0,096123;0,24157;2,55625
2020-09-25;10686;350;45;0,09006825;0,23716;2,5265
2020-09-24;10492;335;44;0,079599;0,22689;2,488
2020-09-23;10363;332;44;0,079118;0,22747;2,507
2020-09-22;10471;342;44;0,08095225;0,23192;2,54175
2020-09-21;10663;356;45;0,08414825;0,2387;2,588
2020-09-20;10964;377;48;0,090132;0,24776;2,6805
2020-09-19;11021;385;48;0,091523;0,25095;2,7025
2020-09-18;10931;387;48;0,09223225;0,2511;2,7115
2020-09-17;10921;378;48;0,0927225;0,25082;2,72475
2020-09-16;10874;364;48;0,09186975;0,24387;2,69975
2020-09-15;10755;371;49;0,0951445;0,24512;2,72375
2020-09-14;10504;372;48;0,095688;0,2438;2,729
2020-09-13;10392;377;49;0,096255;0,24515;2,76425
2020-09-12;10396;379;50;0,096879;0,24476;2,7945
2020-09-11;10335;368;49;0,0961465;0,24178;2,77025
2020-09-10;10316;361;48;0,09575175;0,2424;2,7685
2020-09-09;10170;344;48;0,092346;0,23785;2,75175
2020-09-08;10204;346;48;0,09249775;0,23835;2,79925
2020-09-07;10240;347;48;0,0916415;0,23866;2,83525
2020-09-06;10183;344;48;0,090926;0,2376;2,91025
2020-09-05;10255;361;49;0,095431;0,24558;2,977
2020-09-04;10304;383;49;0,09827675;0,25124;2,83075
2020-09-03;10759;411;52;0,104836;0,25912;2,86075
2020-09-02;11630;457;60;0,11919425;0,28518;3,27725
2020-09-01;11787;455;62;0,123517;0,28792;3,3455
2020-08-31;11667;430;62;0,11990875;0,28171;3,2375
2020-08-30;11584;414;60;0,11654625;0,27863;3,196
2020-08-29;11502;398;57;0,11289925;0,27276;3,12875
2020-08-28;11419;389;57;0,10846575;0,26736;3,047
2020-08-27;11376;385;57;0,10985925;0,26854;3,03925
2020-08-26;11394;385;58;0,1137855;0,27687;3,1215
2020-08-25;11494;395;60;0,116372;0,28125;3,24675
2020-08-24;11702;399;61;0,1229855;0,28692;3,35225
2020-08-23;11632;393;60;0,1230065;0,2841;3,33175
2020-08-22;11562;392;59;0,1231965;0,28137;3,303
2020-08-21;11690;401;61;0,12817275;0,28626;3,3745
2020-08-20;11790;412;62;0,13103225;0,29027;3,397
